"","simulation","iteration","T1N","T1S","T2N","T2S","pval","Simulation","numsig","numsig2"
"459",7,20,20,5,20,8,0.499574384980721,"7",0,0
"460",7,21,21,5,21,9,0.326109452020489,"7",0,0
"461",7,22,22,5,22,9,0.331544139226293,"7",0,0
"462",7,23,23,5,23,10,0.208358454810485,"7",0,0
"463",7,24,24,5,24,10,0.212911902811505,"7",0,0
"464",7,25,25,5,25,10,0.217043907756942,"7",0,0
"465",7,26,26,5,26,10,0.220810032279775,"7",0,0
"466",7,27,27,5,27,11,0.136198232947545,"7",0,0
"467",7,28,28,5,28,12,0.081199695378888,"7",0,0
"468",7,29,29,5,29,12,0.0834860400117508,"7",0,0
"469",7,30,30,6,30,12,0.158956311879403,"7",0,0
"470",7,31,31,6,31,13,0.0983593616928305,"7",0,0
"471",7,32,32,6,32,13,0.100680110727015,"7",0,0
"472",7,33,33,6,33,13,0.102855829575126,"7",0,0
"473",7,34,34,7,34,13,0.183278981097412,"7",0,0
"474",7,35,35,8,35,13,0.29681813951711,"7",0,0
"475",7,36,36,8,36,13,0.299677159205597,"7",0,0
